timestamp,name,country,tags,image,link
2026-03-22T16:48:52.283962,SylvieKreusch,BE,INDIE POP|POP|THURSDAY,https://media.appmiral.com/prod/performance/0056/95/thumb_5594696_performance_960.jpeg,/en/programs-lineup-2026#/artist/2071967-sylvie-kreusch?from=%2F
2026-03-22T16:48:52.284213,SYREETA,UK,ELECTRONIC|HOUSE|TECHNO|TUESDAY,https://media.appmiral.com/prod/performance/0056/95/thumb_5594700_performance_960.jpeg,/en/programs-lineup-2026#/artist/2069923-syreeta?from=%2F
2026-03-22T16:48:54.448925,SZIÁMI és a Vendégek & Ági ésfiúk,HU,ROCK|ALTERNATIVE ROCK|SATURDAY,https://media.appmiral.com/prod/performance/0056/100/thumb_5599485_performance_960.jpeg,/en/programs-lineup-2026#/artist/2074023-sziami-es-a-vendegek-%26-agi-es-fiuk?from=%2F
2026-03-22T16:48:54.449179,Tankcsapda,HU,ROCK|WEDNESDAY,https://media.appmiral.com/prod/performance/0057/05/thumb_5604594_performance_960.jpeg,/en/programs-lineup-2026#/artist/2074081-tankcsapda?from=%2F
2026-03-22T16:48:54.449426,TEENMORTGAGE,US,GARAGE ROCK|ROCK|THURSDAY,https://media.appmiral.com/prod/performance/0057/09/thumb_5608608_performance_960.jpeg,/en/programs-lineup-2026#/artist/2079542-teen-mortgage?from=%2F
2026-03-22T16:48:56.093045,The ZawoseQueens,TZ,FOLK|ELECTRONIC|WAGOGO|WEDNESDAY,https://media.appmiral.com/prod/performance/0057/11/thumb_5610932_performance_960.jpeg,/en/programs-lineup-2026#/artist/2079221-the-zawose-queens?from=%2F
2026-03-22T16:48:56.093295,Tripolism,DK,TECHNO|ELECTRONIC|INDIE|WEDNESDAY,https://media.appmiral.com/prod/performance/0056/95/thumb_5594707_performance_960.jpeg,/en/programs-lineup-2026#/artist/2071954-tripolism?from=%2F
2026-03-22T16:48:56.093544,WAVY,HU,HIP-HOP|TUESDAY,https://media.appmiral.com/prod/performance/0057/09/thumb_5608992_performance_960.jpeg,/en/programs-lineup-2026#/artist/2079574-wavy?from=%2F
2026-03-22T16:48:58.241028,Wild WildWomen,IN,RAP|HIP-HOP|WEDNESDAY,https://media.appmiral.com/prod/performance/0057/11/thumb_5610875_performance_960.jpeg,/en/programs-lineup-2026#/artist/2079557-wild-wild-women?from=%2F
2026-03-22T16:48:58.241298,YARIMA,UA,POP|FRIDAY,https://media.appmiral.com/prod/performance/0057/09/thumb_5608714_performance_960.jpeg,/en/programs-lineup-2026#/artist/2079562-yarima?from=%2F
2026-03-22T16:48:58.241628,YT,UK,HIP-HOP|RAP|WEDNESDAY,https://media.appmiral.com/prod/performance/0057/09/thumb_5608993_performance_500.png,/en/programs-lineup-2026#/artist/2079526-yt?from=%2F
2026-03-22T16:48:59.865328,ZEP,NL,HIP-HOP|ELECTRONIC|SATURDAY,https://media.appmiral.com/prod/performance/0057/10/thumb_5609590_performance_960.jpeg,/en/programs-lineup-2026#/artist/2079189-zep?from=%2F
2026-03-22T16:48:59.865576,Zimmer90,DE,INDIE|ELECTRONIC|SATURDAY,https://media.appmiral.com/prod/performance/0056/81/thumb_5580027_performance_960.jpeg,/en/programs-lineup-2026#/artist/2065320-zimmer90?from=%2F
